,Filepath,0,1,2,3,4,5,6,7,8,9
592,Dangote Urges Government to Protect Local Industries.txt,government,cement,dangote,nigeria,investors,manufacturing,policy,competitive,countries,us
593,Dangote fuel: Marketers fear high-priced petrol ahead of supply.txt,dangote,crude,price,refinery,oil,would,fuel,marketers,buy,market
594,Dangote petrol supply: FG may slash N6tn fuel import.txt,cost,pms,fuel,import,nigeria,average,landing,petroleum,petrol,according
595,Dangote slams CBN’s 26% interest rate hike.txt,per,dangote,policy,rate,cent,manufacturing,growth,monetary,government,said
596,Data Collection .txt,project,data,mobile,managers,collection,gathering,information,tools,refers,process
597,"Day DSS agents, prison officials exchanged blows over Emefiele.txt",court,emefiele,dss,federal,high,security,officials,small,crowd,former
598,Death and the King's Horseman.txt,chief,nobel,classic,tale,tragic,decisions,traditional,african,based,events
599,Death and the King’s Horseman — a review.txt,made,lead,audience,terra,difficult,see,loved,genius,cast,lines
600,Dec+2022+Socialscientia+Vol+7+No+4(R)-30-40.txt,political,apathy,nigeria,citizens,people,government,nigerian,system,state,society
601,"Declare July 13 Wole Soyinka Day, Egba Monarch Charges FG.txt",soyinka,wole,july,alake,nobel,celebrated,birthday,day,federal,celebration
602,"Declare July 13 Wole Soyinka Day, Ogun monarch urges FG.txt",said,soyinka,wole,honour,nobel,july,national,egba,day,prof
603,"Defection, resignation galore as PDP loses grip of strongholds.txt",party,pdp,former,state,members,abia,apc,chairman,ward,chief
604,Delta State.txt,delta,state,cultural,including,government,economic,oil,development,infrastructure,also
605,"DemoCreatives: Yiaga Africa, WADEMOS, others, partner with Creatives to Renew Democracy in West Africa.txt",creatives,democracy,west,civil,democratic,democreatives,yiaga,african,initiative,also
606,Democracy on a Ventilator?.txt,state,godfatherism,also,democracy,people,political,former,democratic,said,oyo
607,"Deployment of AI must ensure fairness, transparency in dealing with consumers - LASG.txt",ai,government,artificial,intelligence,consumer,consumers,responsible,ensure,said,also
608,Design Innovation Challenges.txt,design,designers,apparel,fashion,product,challenges,sustainable,development,innovation,strategies
609,Developing Creativity- Artificial Barriers.txt,system,creative,could,would,autonomy,creator,change,knowledge,standards,changes
610,Diagnostic test hike pushes Nigerians to treating malaria without confirmation.txt,malaria,test,said,people,symptoms,also,laboratory,testing,tests,drugs
611,Dialnet-TheImpactOfClimateChangeOnFoodSecurity-4229903 (3).txt,climate,change,food,agricultural,agriculture,impact,water,land,increase,adaptation
612,Didion_Notebook.txt,would,remember,see,could,one,notebook,woman,way,point,even
613,Digital Banking Solution.txt,people,minister,done,abuja,would,know,city,wike,angry,go
614,"Digital literacy, inclusiveness and objectives of Nigerian AI Collective,.txt",digital,ai,nitda,government,president,nigerian,agency,literacy,national,areas
615,Digitalization and New Trends-08082023-5.txt,music,social,media,nigerian,platforms,artistes,industry,new,popular,also
616,Disadvantages of AI in healthcare.txt,ai,lot,medical,also,data,healthcare,need,could,still,training
617,Discos Raise Revenue by N42.4bn after 230% Hike in Tariff for Premium Customers.txt,per,discos,electricity,cent,revenue,total,power,increase,billion,tariff
618,Discovering the future of AI – Introducing AI Parabellum (an AI tools directory).txt,ai,tools,parabellum,tool,across,curated,anyone,users,creators,new
619,DiscriminatoryCulturalPracticesandWomensRightsamongthe.txt,law,women,customary,igbo,nigerian,gender,cultural,right,practices,rights
620,Discussion.txt,encapsulation,et,eggs,thc,parasitoid,resistant,could,typhae,immune,parasitism
621,Dollar speculation: FG rubbishes Binance CEO’s bribery allegation.txt,binance,mention,government,allegation,payment,gambaryan,also,federal,case,officials
622,Dollar speculation: FG to ban naira from crypto trading platforms.txt,crypto,government,naira,platforms,meeting,blockchain,nigeria,federal,exchange,members
623,Domain-5.txt,school,head,teachers,level,improvement,teaching,management,leadership,progress,leading
624,Don't Miss Out! IOT West Africa Conference Agenda Unveiled + Exciting Prizes!.txt,conference,data,cloud,iot,west,africa,center,expo,win,thank
625,"Don, group fault students’ abuse, over-reliance on AI.txt",ai,artificial,technology,future,stakeholders,importance,intelligence,trust,systems,stressed
626,"Donald Duke, Oyinlola attend Launch of Obasanjo’s Coalition for Nigeria.txt",coalition,oyinlola,nigeria,launch,attend,donald,former,duke,must,newsdonald
627,Don’t repeat Buhari’s mistake on appointments — Shehu Sani warns Tinubu.txt,president,tinubu,office,former,make,sani,said,may,nepotism,peak
628,Dr kunle.txt,church,mother,could,like,would,father,sat,eyes,even,made
629,Dr. ODU Victor formatted pdf.txt,tax,vat,value,revenue,economic,study,growth,total,generation,table
630,"Dr. Olaosebikan Secures Certifications In AI At Oxford, Attains IMC Fellow Membership.txt",ai,business,also,artificial,management,drive,nigeria,certification,intelligence,transformative
631,"Dr. Tijani Wraps Up Artificial Intelligence Strategy Workshop; Announces Groundbreaking Partnerships with Cisco, 21st Century Technologies, others.txt",national,nigerian,al,innovation,digital,ai,nigeria,technologies,collective,projects
632,Dr.txt,azikiwe,political,nigerian,nigeria,became,colonial,united,post,independence,several
633,Draft.txt,et,icl,clusters,mass,diffuse,z,formation,stellar,grt,within
634,Drama as Portable jumps gate to evade arrest.txt,singer,police,arrest,operatives,state,following,portable,seen,arrested,allegations
635,Dubawa launches AI tools to check misinformation.txt,ai,dubawa,tool,mr,chatbot,also,said,claims,information,developed
636,"Duchess of Sussex, called ‘Ifeoma’ in Nigeria, speaks with women about her Nigerian roots.txt",nigerian,women,meghan,first,harry,said,woman,african,young,much
637,"Duke, Afolabi-Brown, Others Charge Corona Graduating Students to be Great Ambassadors, Role Models.txt",school,students,class,agbara,education,also,head,css,graduating,corona
638,"Dunamis testifier, Anyim Vera arrested by Police.txt",testimony,viral,vera,law,saying,anyim,dunamis,international,gospel,digc
639,E2030 Position Paper (05.04.2018).txt,education,oecd,united,december,skills,states,new,learning,de,curriculum
640,"ECOWAS to cancel $500m projects in Mali, Niger, B’Faso.txt",ecowas,parliament,states,regional,also,member,president,said,would,countries
641,ED387925.txt,school,schools,student,high,students,authentic,standards,professional,restructuring,learning
642,ED578024.txt,school,resources,education,educational,management,time,administration,effective,human,teachers
643,EDU 111 HISTORY OF EDUCATION IN NIGERIA .txt,education,educational,nigeria,challenges,history,system,colonial,section,cultural,edu
644,EDU 412 (1).txt,school,b,education,p,e,course,also,educational,guide,community
645,EDU 412 (2).txt,school,b,education,p,e,course,also,educational,guide,community
646,EDUCATION IN NIGERIA: CHALLENGES AND WAY FORWARD.txt,education,educational,nigeria,nigerian,teachers,society,school,also,system,students
647,EDo.txt,benin,oduduwa,people,one,yoruba,history,two,historical,edo,came
648,EFCC opposes EFCC opposes Agunloye’s application for overseas medical treatment trip.txt,application,medical,travel,exhibit,report,prosecution,written,adeola,drew,attention
649,EFCC re-arraigns businessman over alleged N84m fraud.txt,court,bail,defendant,granted,ididia,justice,fraud,told,alleged,lagos
650,"EID-EL-KABIR: FG DECLARES, TUESDAY JULY 20, AND WEDNESDAY JULY 21, 2021 AS PUBLIC HOLIDAYS.txt",minister,nigerians,north,federal,july,muslim,also,face,aregbesola,security
651,EJ1154566.txt,college,health,e,mental,journal,developmental,strategies,table,american,cultural
652,EJ1250602.txt,education,child,girls,gender,school,nigeria,basic,development,women,girl
653,EJ1345524.txt,learning,school,per,cent,resources,internet,children,digital,schools,online
654,EJ1375395 (1).txt,nutrition,education,sports,school,nutritional,experimental,control,et,children,health
655,ELECHIAMADITHECONCUBINE.txt,r,see,author,f,ation,citations,nchelem,osemar,geor,ge
656,EMERHENGE OF POLITICAL HISTORY.txt,organization,political,lagos,british,led,emergence,organizations,formation,members,century
657,EPA 775D  Educational Management and Administration  UNITS 1 and 2.txt,educational,management,education,theory,administration,organizations,leadership,involves,theories,assumes
658,EPRS_STU(2021)656311_EN.txt,digital,work,automation,new,jobs,technology,future,workers,labour,technologies
659,ER.txt,technology,people,negative,internet,mobile,social,effects,issn,society,usage
660,ETBI_BOM_Booklet.txt,school,board,management,members,education,boards,etb,p,policy,schools
661,EVERYONE knows that Tortoise and Crab are enemies.txt,one,tortoise,crab,protected,said,everyone,knows,morning,seashore,decided
662,EXPLAINER: What CBN’s 0.5% (0.005) cybersecurity levy means.txt,bank,cybersecurity,levy,transactions,start,circular,per,cent,equivalent,half
663,Ebonyi varsity lecturer denies wrongdoing in student’s suicide.txt,student,could,death,mother,take,university,department,ebonyi,state,enyi
664,Ebute Metta.txt,ebute,metta,cultural,one,major,neighborhood,lively,social,historic,rich
665,Ebute.txt,ebute,metta,social,mainland,one,including,commercial,location,residents,transport
666,Echoes Across Nigeria's Literary Landscape: A Symphony of Connection.txt,nigerian,readers,literary,human,like,prose,chinua,achebe,storytelling,buchi
667,Echoes of Hope.txt,act,drama,brighter,unfolding,daily,life,amidst,set,marketplace,family
668,Echoes of Resilience.txt,resilience,life,amidst,bustling,spirit,urban,unwavering,echoes,nigerians,cities
669,Echoes of Unity: Nigeria's Literary Journey Through the Tapestry of Connection.txt,nigerian,human,narratives,like,resilience,readers,voices,chinua,achebe,contemporary
670,Echoes of Unity: Nigerian Authors' Exploration of Human Connection.txt,nigerian,human,works,themes,like,serves,tapestry,narratives,chinua,achebe
671,Echoes of the Azure Sky.txt,spire,alina,sky,serenity,crystal,village,upon,azure,celestial,heritage
672,Echoes of the Forgotten.txt,elara,ancient,forgotten,could,within,heart,stood,mysteries,lay,power
673,Echoes of the Niger Delta Tales of Resilience (1).txt,ngozi,niger,environmental,life,echoes,young,community,better,future,filled
674,Echoes of the Sahel Legends of the Hausa Kingdoms.txt,hausa,legend,echoes,legends,kingdoms,vast,expanse,sun,past,people
675,Economic activities grounded as flood washes away Taraba community road.txt,road,peva,local,economic,state,many,government,market,adu,community
676,Economy: Time for talking over for Tinubu.txt,government,british,economy,private,tinubu,nigeria,public,per,energy,sector
677,Edo LP fumes as Obidient Movement backs APC candidate.txt,obidient,movement,support,members,edo,labour,party,presidential,candidate,pledged
678,Edo State.txt,edo,state,benin,cultural,including,government,infrastructure,economic,rich,challenges
679,Education 1.txt,education,people,society,helps,good,better,important,us,community,one
680,Education 2.txt,quality,education,students,botho,issn,would,institutions,university,e,also
681,Education 3.txt,technology,learning,jawi,students,media,teaching,study,use,interest,used
682,Education Management.txt,management,educational,theory,unit,motivation,needs,theories,organization,work,organizational
683,Education for All: Addressing Africa’s Urgent Educational Challenges.txt,education,children,basic,african,foundation,access,quality,learning,climate,youth
684,Educational-Resource-Management.txt,school,education,schools,budget,management,local,resources,costs,educational,per
685,Edutech .txt,learning,solutions,education,edtech,educational,learners,educators,promoting,students,resources
686,Effective_Schools_Characteristics.txt,staff,learning,students,school,effective,focus,high,instructional,teaching,role
687,EffectsofUnemploymentRateonEconomicGrowthinNigeria.txt,unemployment,economic,growth,research,rate,international,gdp,nigeria,model,relationship
688,Efik History.txt,efik,first,late,calabar,nigerian,ekpo,history,origin,chief,efiom
689,Egbesu Deity in Niger Delta Conflict.txt,niger,egbesu,delta,oil,people,journal,president,ijaw,government,southern
690,Eid-el-Kabir: So-Safe deploys tactical team across Ogun State borders.txt,state,commander,ogun,safety,security,statement,june,criminal,social,orientation
691,Ekong..txt,health,adolescent,urban,rural,services,study,et,girls,school,among
692,Electricity tariff hike: FG convenes meeting as Labour threatens indefinite protest.txt,electricity,labour,ministry,tariff,government,would,federal,power,hike,subsidy
693,Electricity tariff hike: Labour demands reversal as protests begin today.txt,tariff,labour,electricity,government,hike,nerc,power,nigerian,also,nlc
694,Elesin Oba: The King’s Horseman’ Review: Faithful to the Source Material but Bland as a Feature Film.txt,film,elesin,oba,another,scene,good,cast,death,one,horseman
695,Eliminate insurgents at Kainji Park.txt,park,security,kainji,terrorists,military,local,national,said,nigeria,presence
697,Embracing the Adire: A Celebration of Human Connection.txt,human,us,nigerian,complexities,chimamanda,ngozi,author,connection,readers,chinua
698,Embracing the International Day of Happiness.txt,day,happiness,joy,spread,moments,one,international,often,hearts,gratitude
699,Embracing the Threads of Humanity: Diverse Perspectives on Human Connection.txt,human,connection,simisola,badejo,author,unique,complexities,collective,us,tapestry
700,"Emirate tussle: Court orders Bayero’s eviction, Kano says deposed emir a threat.txt",kano,state,court,order,emir,emirs,deposed,alhaji,government,said
701,"Endure the hardship caused by petrol subsidy removal, Tinubu urges Nigerians.txt",removal,tinubu,endure,hardship,subsidy,petrol,nigerians,mr,wish,must
702,Energy Future for Africa.txt,energy,africa,economic,access,continent,day,challenges,significant,oil,global
703,"Enforce oil sector local content laws, operators tell NCDMB.txt",content,nigerian,oil,local,gas,nigeria,capacity,industry,laws,development
704,Engaged But Available.txt,asked,get,call,trying,one,could,boyfriend,getting,good,like
705,Enhancing development through empowerment of 800 entrepreneurs in A’Ibom.txt,business,governor,state,young,akwa,ibom,entrepreneurs,training,development,businesses
706,Eno inaugurates bank branch in Uyo.txt,eno,bank,umo,akwa,ibom,state,urged,management,staff,parallex
707,"Eno sacks Commissioner for Special Duties, Dr Bassey Okon.txt",state,commissioner,governor,akwa,ibom,umo,eno,secretary,pastor,special
708,Enugu State.txt,enugu,state,cultural,government,coal,including,development,economic,challenges,colonial
709,Essential Preliminary Steps to Effective Writing.txt,writing,message,general,staff,public,four,tone,information,would,organization
710,Ethical Dilemma of Stem Cell Research in Nigeria.txt,stem,research,human,embryos,cells,cell,life,great,scientists,many
711,Ethnic differentials in under-five mortality in Nigeria.txt,ethnic,children,mortality,health,among,child,birth,tribes,groups,survival
712,Exchange Rates Gap Narrows as Naira Depreciates to N1509.45.txt,rate,us,naira,exchange,fx,market,per,official,window,according
713,Expert Recommends AI Solutions For Nigeria’s Challenges.txt,economic,ai,biodun,gbolahan,global,potential,revolutionise,poised,healthcare,crop
714,Exploring Human Connection: A Tapestry of Perspectives.txt,human,connection,relationships,connections,profound,mayowa,oreoluwa,kofoworola,power,niniola
715,FCE Akoka Provost Seeks Government Protection Amid Tenure Extension Crisis.txt,union,education,ministry,provost,federal,tenure,college,government,alleged,colleges
716,FCT.txt,capital,abuja,federal,territory,economic,cultural,fct,development,city,nigeria
717,"FEDERAL MIGHT, ORGANISED LABOUR AND THE GRASS BETWEEN.txt",labour,one,wage,iya,organised,strike,nigeria,union,minimum,wages
718,FEDERAL-MINISTRY-OF-EDUCATION-HANDBOOK.txt,education,national,federal,development,service,educational,nigeria,nigerian,public,government
719,FG ASSURES OF COMMITMENT TO SUSTAIN MUTUALLY BENEFICIAL RELATIONS WITH GOVERNMENT OF CANADA.txt,government,nigeria,economic,federal,canadian,system,country,countries,development,bilateral
720,"FG DECLARES WEDNESDAY 1ST MAY, 2024 PUBLIC HOLIDAY TO MARK WORKERS’ DAY CELEBRATION.txt",federal,government,minister,commitment,safety,declared,public,holiday,commemorate,day
721,FG INAUGURATES 17-MAN INTER-MINISTERIAL COMMITTEE ON 2024 DEMOCRACY DAY CELEBRATION.txt,democracy,day,minister,committee,celebration,honourable,government,anniversary,national,activities
722,FG OF Nigeria Unveil Plans to Launch a New National Identity Card with Payment & Social Service Delivery Capabilities.txt,national,card,identity,nimc,data,government,social,financial,legal,identification
723,FG REAFFIRMS ITS COMMITMENT TO RESTRUCTURING THE CUSTODIAL CENTRES.txt,custodial,security,place,minister,correctional,government,centres,centre,across,maximum
724,FG REITERATES COMMITMENT TO ADDRESS ECOLOGICAL CHALLENGES.txt,flood,project,control,commission,government,koton,kogi,flooding,root,ecological
725,FG REITERATES COMMITMENT TO ALLEVIATE THE PLIGHT OF THE FALLEN HEROES.txt,flood,project,control,commission,federal,government,koton,kogi,flooding,root
726,FG REMAINS COMMITTED TO IMPROVE BORDER SECURITY.txt,border,management,minister,united,international,working,said,director,states,mission
727,FG Seeks More Investments as Oil Production Drops to 1.3mbpd.txt,oil,production,gas,reserves,petroleum,investments,barrels,proven,industry,ramp
728,FG Urged to Impose Travel Restriction .txt,china,travel,federal,government,necessary,urged,impose,immediately,restrict,avoid
729,FG calls for creation of African AI Council.txt,ai,strategy,regulations,funding,nigeria,government,african,artificial,intelligence,council
730,FG constitutes advisory board on malaria.txt,malaria,task,advisory,elimination,force,health,ministerial,minister,prof,nigeria
731,FG declares 2-Day public holidays for Eid-ul-Adha.txt,minister,federal,june,government,declared,public,holidays,commemorate,announcement,made
732,FG directs MDAs to patronise made-in-Nigeria goods.txt,manufacturing,shettima,local,also,policy,sector,government,roadmap,would,national
733,"FG identifies 6,000 Nigerian AI researchers to drive Nigeria’s AI ambitions- Bosun Tijani.txt",ai,artificial,intelligence,startups,nigerian,nigeria,researchers,growth,research,towards
734,FG launches local language model for AI development.txt,national,ai,also,artificial,intelligence,tijani,said,development,government,nigerian
735,FG may need supplementary budget to pay minimum wage – IMF.txt,government,per,cent,financing,may,budget,staff,external,market,deficit
736,FG opens student loan application portal May 24.txt,loan,students,nigerian,education,access,loans,portal,tinubu,scheme,announced
737,FG plans performance-based salary scheme for workers.txt,productivity,wage,system,said,government,npc,international,disclosed,labour,would
738,"FG revokes N870bn road contracts, 2,270 projects suffer delay.txt",road,projects,minister,contracts,contractors,awarded,federal,construction,umahi,government
739,"FG seeks Korea’s investment in electric vehicle projects in Nigeria, assures of incentives .txt",korean,electric,government,nigeria,vehicle,south,tuggar,development,korea,support
740,FG should prioritise tech infrastructure in health sector’.txt,health,healthcare,adegoke,technological,infrastructure,access,government,underserved,telemedicine,also
741,"FG to Empower 5,000 NYSC Members with N10m Each.txt",corps,members,state,new,nysc,youth,announced,adding,niger,also
742,FG to Transform Nigeria Into $1trn Economy by 2030 – VP.txt,financial,economic,inclusion,accord,nigeria,project,poverty,growth,said,president
743,"FG to establish AI, blockchain research centres in Nigeria’s six geopolitical zones.txt",development,africa,also,research,emerging,iot,west,according,said,technology
744,FG to inaugurate varsities governing councils July 4.txt,university,governing,federal,july,acting,appointed,chairman,government,councils,institutions
745,FG to partner researchers for development of framework for AI adoption.txt,ai,artificial,intelligence,strategy,minister,researchers,framework,would,national,technology
746,FG unveils satellite-based crop watch system to boost food security.txt,food,agricultural,development,crop,security,chinese,importance,wu,monitoring,information
747,FIL_Stock Market.txt,market,stock,public,investment,long,trading,invest,term,short,securities
748,FLASHBACK: Full Text of Ibrahim Babangida’s 1993 Annulment Speech.txt,presidential,national,administration,country,political,electoral,also,council,election,fellow
749,FRC-Legality-Risk-Dashboard-Nigeria.txt,forest,nigeria,cocoa,percent,risk,accessed,production,may,land,deforestation
750,FUELSUBSIDYANDCURRENCYEXCHANGERATEINNIGERIA.txt,fuel,nigeria,subsidy,exchange,government,rate,policy,petroleum,would,currency
751,Fagba.txt,fagba,community,social,residents,environment,local,including,neighborhood,variety,parts
752,Fashion_Designing_and_Economic_Developme.txt,fashion,lagos,designing,economic,nigeria,development,business,brand,designers,state
753,Fashion_trends_and_their_impact_on_the_s.txt,fashion,social,style,trends,people,trend,clothing,look,like,values
754,"Fashola Disagrees with Keyamo, Says President’s Action Not Contempt of S’Court.txt",president,apc,said,naira,bank,nigerians,court,buhari,government,nigeria
755,"Father who loses daughter to suicide in UK points fingers at ex-wife, daughter’s ex-boyfriend.txt",death,nigerian,oladapo,whose,killed,united,kingdom,may,alleged,factors
756,Fear and hope in an age of mass automation_final.txt,work,technology,workers,would,future,hours,automation,time,less,capitalist
757,Feeding value of Napier grass (Pennisetum macrourum) for cattle supplemented with protein andor energy rich supplements.txt,b,napier,grass,wild,feed,intake,n,et,mo,protein
758,Femi_Otedola.txt,retrieved,otedola,october,september,february,femi,zenon,december,oil,august
759,"Fight against insurgency, terrorists must continue, says Borno govt.txt",said,victims,reports,people,governor,suicide,blast,state,acting,kadafur
760,Fighting among Boko Haram Splinters Rages On.txt,jas,iswap,lake,jihadist,chad,state,north,borno,militants,still
761,Final-Case-_for-web-1.txt,health,mental,retrieved,nigeria,care,world,iyabo,lagos,living,countries
762,Finally Tinubu’s Turn.txt,party,president,national,former,tinubu,votes,march,chairman,independent,electoral
763,Finding Calm in the Chaos: Navigating Life with Serenity.txt,serenity,finding,us,cultivating,often,challenges,midst,peace,world,feels
764,Firm plans AI-driven solutions for work management.txt,asana,nigerian,work,operations,nigeria,provide,would,event,ai,entry
765,Five home appliances you should never plug into extension cord — Expert.txt,extension,appliances,plugging,home,power,fire,space,amount,voltage,cords
766,"Flood may worsen cholera outbreak in communities without safe drinking water, experts warn.txt",cholera,water,flooding,outbreak,must,need,nigeria,disease,government,communities
767,Flood takes over residential areas in Ibeju-Lekki.txt,areas,flooding,due,house,drainage,residential,area,affected,labora,water
768,Flutterwave and EFCC collaborate to build a Cybercrime Research Centre.txt,financial,research,combat,partnership,cybercrime,centre,center,fight,internet,secure
769,Focus is integral to accomplishment.txt,focus,may,get,done,need,really,job,things,work,attention
770,Folorunso_Alakija.txt,alakija,retrieved,july,folorunsho,april,woman,archived,original,fashion,may
771,Food Security .txt,food,climate,global,people,need,farmers,agricultural,also,find,us
772,Food Security is a Global Challenge.txt,food,climate,global,people,need,farmers,agricultural,also,find,us
773,Food spoilage 1.txt,spices,food,antimicrobial,b,moin,bacteria,garlic,extracts,used,different
774,Food spoilage 2.txt,food,spoilage,foods,bacteria,growth,microorganisms,et,microbial,molds,high
775,Food spoilage 3.txt,associated,vegetables,spoilage,et,fungi,fungal,cabbage,fruit,dutse,stolonifer
776,Forest_Degradation_and_Deforestation_in_Nigeria_Po.txt,forest,deforestation,poverty,degradation,forests,water,nigeria,causes,also,global
777,Formation.txt,icl,satellites,log,merger,clusters,z,fraction,within,stars,contribution
778,"Former NLC president, Omar heads LP transition committee.txt",committee,labour,transition,omar,party,national,former,nlc,expected,work
779,"Fostering Inclusivity, Collaboration, and Critical Thinking.txt",discetec,educational,sdg,organization,lifelong,learning,integration,sustainable,education,fostering
780,"Four dead, dozens trapped in South Africa building collapse.txt",people,workers,site,said,rescuers,south,least,officials,taken,building
781,Fruits 1.txt,fruit,quality,fruits,vegetables,color,food,standards,red,unesco,eolss
782,Fruits 2.txt,fruits,fruit,ﬂeshy,plant,dry,march,volume,mendelson,carpel,seeds
783,Fruits 3.txt,fruits,fruit,scope,crops,high,area,good,like,india,production
784,Fubara nominates caretaker chairmen for 23 LGAs.txt,lga,state,rivers,chairmen,assembly,ahoada,john,toru,reginald,siminalayi
785,Full Speech With Which Ibrahim Badamosi Babangida Annulled June 12 Elections Won By MKO Abiola.txt,presidential,national,administration,country,political,electoral,also,election,council,defence
786,Full Text of Buhari’s Speech At The Anti-Corruption Summit In Lagos.txt,corruption,national,tackling,corrupt,rule,well,would,country,also,public
787,Full list of COVID-19 test centres in Lagos’ 20 LGAs.txt,died,said,lagos,state,two,patients,isolation,hospital,abayomi,symptoms
788,"Full text of the speech by President Buhari during his meeting with Elders from the Niger Delta and the leadership of the Ijaw National Congress (INC), at the Presidential Villa, on Friday, June 25, 2021.txt",ijaw,national,would,people,call,sure,local,niger,delta,particularly
789,Full-Paper-EDUCATION-IN-NIGERIA-CHALLENGES-AND-WAY-FORWARD.txt,education,nigeria,educational,academic,nigerian,national,teachers,research,society,journal
790,Full-Paper-HISTORY-OF-TRADITIONAL-SCIENCE-AND-TECHNOLOGY-IN-SUB-SAHARAN-AFRICA.txt,science,techniques,history,technology,sub,de,african,societies,africa,oral
791,GASIRTanalysisand10-itemversion-proof-2014.txt,anxiety,item,gas,older,items,et,response,irt,information,sd
792,GEJ-INAUGURAL-SPEECH-2010.txt,would,good,nation,deep,god,great,entire,political,development,president
793,GGSC-JTF_White_Paper-Gratitude-FINAL.txt,gratitude,people,study,found,studies,may,positive,journal,grateful,one
794,GIVE THEM THEIR RIGHTS A CRITICAL REVIEW OF GODFATHER.txt,godfatherism,political,politics,public,state,nigeria,enugu,also,godfather,p
795,"GPT-4o delivers human-like AI interaction with text, audio, and vision integration.txt",model,openai,audio,text,new,image,capabilities,vision,going,safety
796,"GSMA, IBM Adopt TrainingProgramme To Close AI Skills Gap.txt",ai,gsma,training,ibm,telco,skills,new,gen,telecom,advance
797,GSP5.txt,allah,islam,al,business,prophet,religion,one,god,people,education
798,"Gender-based violence eradication a collective effort, says Titilola Vivour-Adeniyi.txt",sexual,role,also,opportunity,state,domestic,issues,public,play,lagos
799,Gender_Trouble_Feminism_and_the_Subversi.txt,gender,one,trouble,new,theory,th,preface,sexual,text,work
800,General Sani Abacha.txt,economic,abacha,general,corruption,nigeria,regime,rule,sani,marked,human
801,General Yakubu Gowon.txt,national,gowon,nigerian,unity,leadership,economic,also,policy,development,yakubu
802,General-Sanni-Abacha-Inaugural-Speech.txt,hereby,chief,head,national,government,state,general,commander,armed,problems
803,Generative AI.txt,generative,ai,use,process,new,provide,clients,human,technology,cases
804,"Generic drugs availability, affordable treatment solutions for Nigerians.txt",generic,drugs,healthcare,health,said,cost,patients,drug,medication,essential
805,Genetic_and_phenotypic_differentiation_of_qualitat.txt,e,th,goats,n,red,f,sheep,gene,r,coat
806,Geneva Conventions .txt,international,geneva,must,conventions,humanitarian,war,human,crimes,rights,justice
807,George W. Bush - Israel-Palestine Solution.txt,e,n,l,h,p,u,f,r,w,g
808,George W. Bush - Military Commissions for Suspected Terrorists (1).txt,terrorists,information,american,us,al,terrorist,intelligence,war,helped,held
809,Ghana Must Go.txt,economic,must,nigeria,west,ghana,many,historical,african,expulsion,people
810,"Gil Pekelman, Atera: How businesses can harness the power of AI.txt",ai,single,autopilot,like,copilot,issues,atera,everything,problem,deal
811,"Global Advertising Community Tasked on DEI, as Babaeko, others Lead Conversation at Cannes.txt",advertising,international,president,session,equality,inclusion,research,council,progress,ceo
812,Global Water Pollution.txt,water,drinking,health,et,pollution,wastewater,global,human,organic,arsenic
813,"Glovo promised Nigerian delivery riders health insurance, then refused to pay up.txt",insurance,delivery,glovo,rest,said,accident,told,workers,company,medical
814,Godfatherism and democracy in nigeria.txt,godfatherism,political,politics,democracy,godfathers,godfather,would,nigeria,godson,god
815,Godfatherism in Nigerian Politics.txt,godfather,political,godfatherism,state,nigerian,nigeria,democratic,politics,ugwu,journal
816,Gold mine leak ‘poisons’ 185 people in Ivory Coast- Official.txt,water,local,afp,fish,said,river,cavally,drinking,dao,endeavour
817,Gombe residents seek govt intervention in rent hike.txt,rent,federal,state,arewa,government,increase,cost,house,rents,punch
818,Good News.txt,digital,epidemiology,innovation,data,analytics,r,want,gratitude,africa,network
819,Goodluck Jonathan.txt,political,jonathan,significant,democratic,election,rise,marked,niger,delta,became
820,Google Partners Creative Industry to Empower 6000 Nigerian Youths.txt,creative,said,engage,nigeria,programme,google,youths,nigerian,initiative,cohort
821,Google Tweaking AI Overview After Search Result Gaffes.txt,google,ai,search,users,examples,taking,like,obama,muslim,us
822,Google updates language model to boost AI creativity.txt,gemini,bard,google,new,available,advanced,developers,explained,users,pro
823,"Google, C.I.I.F.A. Launch Second Cohort of Engage Nigeria Programme for Creatives.txt",creative,engage,nigeria,initiative,programme,cohort,youth,participants,community,launched
824,Google: New search Reveals Nigerians Growing Interest in AI.txt,ai,artificial,per,chatgpt,intelligence,including,apple,google,nigeria,many
825,Gov Mbah Receives Presidential Award for MSMEs Development.txt,enugu,msmes,vice,office,msme,governor,award,mbah,skills,small
826,"Gov poll: INEC resumes voter registration in Edo, Ondo.txt",registration,states,two,centres,edo,ondo,state,would,registered,governorship
827,Governance and Local Government Elections in Nigeria’s Fourth Republic .txt,local,government,state,governance,elections,anambra,governments,political,plateau,system
828,Governor_Address_CIBN_AnnualDinner_24Nov_Ver2 Lagos 2.txt,exchange,monetary,policy,economic,financial,nigeria,market,percent,foreign,bank
829,Govt reduces electricity tariff for ‘Band A’ customers.txt,electricity,band,ikeja,may,tariff,customers,supply,hours,distribution,announced
830,Govt under pressure to stop cybersecurity levy.txt,cbn,cybersecurity,financial,levy,circular,institutions,cybercrimes,house,new,per
831,"Gowon’s Civil War Victory Message to the Nation, 15 January 1970.txt",must,federal,nation,government,also,people,national,us,shall,thank
832,Group backs Akwa Ibom’s amended TRC law 26th September 2023.txt,ibom,akwa,traditional,rulers,bill,state,ibibio,law,elders,leaders
