,Filepath,0,1,2,3,4,5,6,7,8,9
325,2024 COMMENCEMENT WELCOME BY PROF DEWAYNE FRAZIER.txt,us,let,able,see,life,also,new,world,remember,one
326,"2024 Easter Broadcast by His Excellency, Pastor Umo Eno, Governor, Akwa Ibom State.txt",us,love,economic,first,thousand,vulnerable,arise,naira,trial,christ
327,20th Anniversary Africa Regional Webinar Of ICPC Themed Combating Corruption & Illicit Financial Flows.txt,corruption,financial,must,illicit,international,efforts,public,icpc,information,corporate
328,20th Anniversary Celebration Of The Interswitch Group.txt,across,two,interswitch,payment,years,innovative,technology,innovation,people,internet
329,224.245+Impoliteness+Akporokah.Ifechelobi (1).txt,impoliteness,political,language,lie,campaign,president,journal,strategies,studies,presidential
330,"23rd World Travel & Tourism Council (WTTC) Global Summit | Remarks by President Kagame | Kigali, 2 November 2023.txt",rwanda,also,world,travel,thank,african,africa,tourism,global,visit
331,25-Powerful-Commencement-Speeches-by-Famous-Women.txt,e,n,r,l,h,u,w,c,g,f
332,25749-wiltop102015.txt,women,leadership,one,gender,per,think,work,cent,people,like
333,28th Nigerian Economic Summit Themed: ‘2023 & Beyond: Priorities for Shared Prosperity’.txt,must,economic,us,especially,also,global,climate,lot,nigeria,seen
334,"2nd Convocation Ceremony, Afe Babalola University, Ado - Ekiti (ABUAD) SPEECHES  JANUARY 27, 2015.txt",university,abuad,nigeria,first,students,us,world,universities,continue,one
335,2nd quarter 2018 Keynote Address by SGF.txt,state,government,akwa,forum,ibom,states,national,secretary,development,sdgs
336,34362-sp-africa_rising_-_statement_on_africa_day_.txt,africa,african,slave,trade,development,per,slaves,agenda,may,kwame
337,35th Anniversary Broadcast By Gov. Udom Emmanuel.txt,state,people,ibom,years,us,across,youths,akwa,god,one
338,38523-sp-oau_summit_may_1963_speeches.txt,african,africa,us,must,would,unity,union,one,common,economic
339,5 WAYS TO MAINTAIN POWER RELATIONSHIPS SUCCESSFULLY.txt,must,love,whether,people,way,intentional,relationship,time,language,understanding
340,5 year Policy Thrust of Central Bank of Nigeria.txt,growth,financial,also,credit,support,access,help,banks,supporting,order
341,52 independence speech.txt,investment,nigeria,security,administration,ports,ensure,put,new,country,measures
342,52nd Annual National Conference Of The Chartered Institute Of Personnel Management.txt,trade,afcfta,must,free,also,national,african,area,opportunities,negotiations
343,52nd Independence Day Speech by President G E Jonathan.txt,power,nigerian,future,also,transformation,gas,great,made,new,continue
344,"5th Conference of Africa Ministers responsible for Civil Registration Speech by Oliver Chinganya, Director of the African Centre for Statistics, UNECA Expert Group Meeting.txt",civil,registration,identity,crvs,systems,legal,conference,secretariat,wish,development
345,5th National MSMEs Awards Ceremony And Dinner Night .txt,msme,award,also,awards,winner,excellence,msmes,state,energy,facility
346,"5th Steve Biko Lecture by Nelson Mandela, Cape Town 10 September 2004.txt",consciousness,african,oliver,time,people,one,political,steve,world,struggle
347,"6 th SPECIALIZED TECHNICAL COMMITTEE ON FINANCE, MONETARY AFFAIRS, ECONOMIC PLANNING AND INTEGRATION. EXPERTS MEETING.txt",growth,economic,african,kenya,sustainable,domestic,global,union,trade,output
348,"60th Anniversary Celebration Of The Oil Producers Trade Section, OPTS.txt",climate,carbon,use,energy,also,gas,solar,countries,transition,global
349,67th Foundation Day Celebration And Convocation Ceremony Of University Of Ibadan.txt,university,must,provide,students,ibadan,economic,education,research,another,also
350,"6th Anniversary Text Of Broadcast By His Excellency, Mr. Udom Emmanuel, Governor Of Akwa Ibom State..txt",state,one,would,god,ibom,akwa,people,successor,new,great
351,6th Annual Subcommittee meeting of the Committee of Permanent Representatives.txt,unep,new,environmental,need,work,action,climate,us,world,change
352,"6th Edition Of The Nigerian Mining Week At The International Conference Centre, Abuja.txt",mining,steel,sector,development,nigerian,must,mineral,growth,also,economic
353,"78th United Nations General Assembly | Address by President Paul Kagame | New York, 20 September 2023.txt",nations,also,united,global,developing,must,summit,development,crisis,need
354,7th Anniversary: Bello’s Special Message.txt,kogi,state,people,time,us,new,first,great,administration,also
355,"8th Ordinary Session Of Council Of Ministers Of Pan-African Agency Of The Great Green Wall (PAGGW)  By Prof Yemi Osibanjo on the 16th of June, 2022.txt",wall,great,green,ordinary,session,council,ministers,nigeria,desertification,like
356,8th Ordinary Session Of Council Of Ministers Of Pan-African Agency Of The Great Green Wall (PAGGW).txt,great,wall,green,nigeria,climate,must,session,council,ministers,also
357,: Challenges and Opportunities of Legislative Informatics Speech by Chief Olusegun Obasanjo.txt,information,african,legal,legislative,management,open,conference,africa,parliaments,nations
358,"A BRIEF BY CHIEF (DR.) J. O. SANUSI (CON), GOVERNOR, CENTRAL BANK OF NIGERIA ON ON-GOING EFFORTS TOWARDS A MONETARY UNION (SINGLE CENTRAL BANK AND CURRENCY) IN THE WEST AFRICAN SUB-REGION DURING MEFMI CENTRAL BANK GOVERNORS FORUM,  BIS, BASEL, SWITZERLAND.txt",monetary,central,african,bank,west,would,single,member,countries,currency
359,"A BRIEF BY CHIEF (DR.) J. O. SANUSI (CON), GOVERNOR, CENTRAL BANK OF NIGERIA ON ON-GOING EFFORTS TOWARDS A MONETARY UNION (SINGLE CENTRAL BANK AND CURRENCY) IN THE WEST AFRICAN SUB-REGION DURING MEFMI CENTRAL BANK GOVERNORS= FORUM,  BIS, BASEL, SWITZERLAND, JUNE 30TH - JULY 01, 2003.txt",monetary,central,african,bank,west,would,single,member,countries,currency
360,A BRIEF [VIRTUAL] ENCOUNTER WITH BOLU BABALOLA.txt,love,stories,black,women,white,also,short,want,bolu,often
361,A CALL TO DUTY FOR ENGINEERS AND POLITICIANS.txt,infrastructure,engineers,politicians,members,development,deputy,nigerians,ladies,nigerian,president
362,A CONVERSATION TO DISCUSS SOME OF THE ISSUES RELATING TO THE PROMOTION OF YOUTH ENTREPRENEURSHIP” AT THE OXFORD UNION 24TH OCTOBER 2016.txt,youth,education,africa,young,entrepreneurship,economic,provided,innovation,training,employment
363,"A CONVOCATION LECTURE BY HIS EXCELLENCY, MR. UDOM EMMANUEL, GOVERNOR OF AKWA IBOM STATE, NIGERIA (MAY 2015 – MAY 2023) AT THE 5TH CONVOCATION CEREMONY OF MOUNTAIN TOP UNIVERSITY, PRAYER CITY, OGUN STATE, NIGERIA ON THURSDAY, 21ST DECEMBER 2023.txt",vision,life,people,make,time,akwa,ibom,challenge,world,never
364,A Call for Reflection on Nigeria's Global Role.txt,war,nigeria,one,many,may,great,image,around,international,world
365,A Call for Reflection: Reimagining Nigeria's Role in the Global Community.txt,war,may,nigeria,instead,right,allies,global,nigerians,us,witnessed
366,A Call for Unity and Progress: Nigeria's Path to a Brighter Future.txt,must,party,many,leadership,us,time,make,great,democratic,enough
367,A Call to Justice and Compassion in Nigeria.txt,god,even,church,year,like,something,got,would,us,religious
368,A Call to Unite for the Future of Nigeria Addressing the Climate Crisis.txt,us,must,future,purpose,crisis,courage,carbon,let,stand,guided
369,A Commitment to Freedom and Tolerance in Nigeria.txt,worship,freedom,right,nigeria,nation,religious,diverse,like,principles,country
370,"A Fairer Global Order Address by His Excellency President Olusegun Obasanjo, President of the Federal Republic of Nigeria and Chairman of the G-77, At the South Summit April 12, 2000, Havana, Cuba.txt",countries,must,economic,south,global,international,developing,debt,summit,development
371,"A Fairer Global Order Address by His Excellency President Olusegun Obasanjo, President of the Federal Republic of Nigeria and Chairman of the G-77, At the South Summit.txt",countries,must,economic,international,south,development,global,developing,cooperation,summit
372,"A Fairer Global Order Address by President Olusegun Obasanjo At the South Summit April 12, 2000, Havana, Cuba.txt",countries,must,economic,international,south,development,global,developing,cooperation,summit
373,"A GOODWILL ADDRESS BY THE GOVERNOR, CENTRAL BANK OF NIGERIA TO THE 9TH BANKERS CONFERENCE HOLDING AT SHERATON HOTEL AND TOWERS, ABUJA, ON THE THEME “UTILIZATION OF THE SMIEIS FUNDS: THE RIGHT APPROACH”.txt",smes,banks,equity,finance,poor,per,cent,investment,capital,access
374,"A Journey Defined – Empathy, Courage, Industry (Discipline)” Dr. Adesola Adeduntan, Chief Executive Officer, First Bank of Nigeria Ltd & Subsidiaries.txt",life,personal,professional,career,point,journey,amala,yam,new,intentional
375,A Journey Of Expectations.txt,state,shall,new,year,support,take,abia,payment,make,government
376,A Journey on the Information Highway.txt,internet,people,think,things,even,want,really,like,years,way
377,"A KEYNOTE ADDRESS BY CHIEF (DR.) J. O. SANUSI (CON), GOVERNOR, CENTRAL BANK OF NIGERIA AT THE CONFERENCE FOR REGULATORS AND EXTERNAL AUDITORS OF FINANCIAL INSTITUTIONS HELD AT THE CBN CONFERENCE HALL, ABUJA, BETWEEN 16TH AND 17TH FEBRUARY 2004.txt",financial,auditors,external,workshop,need,regulators,reporting,services,industry,reports
378,"A KEYNOTE ADDRESS BY CHIEF (DR.) J.O. SANUSI (CON) GOVERNOR, CENTRAL BANK OF NIGERIA, AT THE NATIONAL WORKSHOP ON “MONETARY AND FINANCIAL POLICY MANAGEMENT” ORGANISED BY THE CHARTERED INSTITUTE OF BANKERS OF NIGERIA (CIBN) AT THE BANKERS HOUSE, VICTORIA ISLAND, LAGOS ON FEBRUARY 5, 2004.txt",monetary,policy,cbn,financial,rate,growth,money,effective,fiscal,sector
379,"A KEYNOTE ADDRESS DELIVERED BY PROFESSOR CHARLES C. SOLUDO, GOVERNOR, CENTRAL BANK OF NIGERIA .txt",currency,bank,management,cbn,nigeria,private,seminar,central,sector,printing
380,"A KEYNOTE ADDRESS DELIVERED BY PROFESSOR CHARLES C. SOLUDO, GOVERNOR, CENTRAL BANK OF NIGERIA AT THE NATIONAL SEMINAR ON CASH HANDLING, AUTOMATION AND MANAGEMENT HELD AT THE PROTEA HOTEL, LEKKI, LAGOS FROM 9TH – 10TH AUGUST, 2005.txt",currency,management,seminar,bank,cbn,cash,nigeria,private,central,problems
381,A MATTER OF PRINCIPLE by Muhammadu Buhari.txt,nigeria,justice,process,court,would,people,knowles,case,could,never
382,"A MUST-READ!!! GOVERNOR BABATUNDE FASHOLA’s SPEECH AT THE 2013 ANNUAL THANKSGIVING HELD JANUARY 5, 2014..txt",many,people,make,much,us,new,made,choices,happy,think
383,"A Man Must Be Called of God Babatunde Sanwo olu of the Quorum of the Twelve Apostles  September 30, 1979.txt",church,would,prophets,apostles,god,jesus,christ,unto,one,foundation
384,A Memorable Day in Vandeikya and Konshisha.txt,vandeikya,team,honour,taking,tour,decamping,good,people,konshisha,township
385,A Message of Strength and Resolve to the People of Nigeria..txt,acts,business,nigerian,nigeria,evil,help,way,freedom,came,attack
386,A Message of Unity and Healing for Nigeria.txt,us,lost,let,children,must,come,many,also,worked,one
387,A Message of Unity and Resolve to the People of Nigeria.txt,every,many,nigeria,nigerians,people,nigerian,seen,world,boko,national
388,"A More Dangerous World than I've Ever Seen - Jul. 15, 2015.txt",national,security,sure,make,women,need,continuing,strong,really,tell
389,A Mother's Plea for Hope and Action in Nigeria.txt,people,nigeria,need,believe,years,hiv,national,life,care,help
390,"A NEW ERA OF QUALITY EDUCATION SPEECHES  DECEMBER 29, 2014.txt",university,education,day,life,years,must,staff,students,make,quality
391,A New Dawn for Ekiti State.txt,ekiti,also,let,us,every,new,brighter,state,determination,embark
392,A New Dawn for Ondo State.txt,ondo,let,us,every,brighter,state,determination,journey,progress,child
393,A New Dawn for Peace and Progress in Borno State.txt,borno,ensure,let,us,every,work,live,child,healthcare,economic
394,A New Dawn for Plateau State.txt,plateau,ensure,unity,enhance,every,access,future,healthcare,development,security
395,A New Dawn: Building a Brighter Future for Adamawa State.txt,adamawa,ensure,every,future,state,unity,enhance,access,healthcare,work
396,A New Dawn: Leading Akwa Ibom State Forward.txt,ibom,akwa,state,also,let,us,every,ikot,cultural,embark
397,A New Era for Kwara State.txt,kwara,development,ensure,unity,enhance,every,access,future,healthcare,work
398,A New Era of Progress for Edo State.txt,edo,also,let,us,every,new,future,progress,state,determination
399,A New Era of Unity and Progress for Taraba State.txt,taraba,ensure,also,let,us,every,access,healthcare,brighter,state
400,A New Era: Moving Forward Together in Kogi State.txt,kogi,state,also,let,us,every,new,brighter,cultural,determination
401,A New Path for Nigeria: Embracing Our True History and Future.txt,monuments,history,nigerian,people,colonial,one,think,us,many,nigeria
402,A Plea for Unity and Understanding.txt,muslims,represent,nigeria,thank,people,nigerians,fellow,must,feel,want
403,"A SPEECH DELIVERED BY THE PRESIDENT OF THE UNIVERSITY OF NIGERIA ALUMNI ASSOCIATION, BENIN BRANCH DR ATU-OMIMI EJOOR OSARETIN KINGSLEY ON THE OCCASION OF THE COURTESY VISIT OF THE ASSOCIATION TO THE CHIEF JUDGE OF EDO STATE, HON JUSTICE FRANCES ESEOHE IKPONMWEN ON THE 22ND DAY OF MARCH 2017..txt",honour,university,great,identify,profession,every,nigeria,association,support,dignity
404,"A SPEECH DELIVERED BY THE PRESIDENT OF THE UNIVERSITY OF NIGERIA ALUMNI ASSOCIATION, BENIN BRANCH DR ATU-OMIMI EJOOR OSARETIN KINGSLEY ON THE OCCASION OF THE COURTESY VISIT OF THE ASSOCIATION TO THE CHIEF JUDGE OF EDO STATE, HON JUSTICE FRANCES ESEOHE IKPONMWEN ON THE 22ND DAY OF MARCH 2017.txt",honour,university,great,identify,profession,every,benin,nigeria,association,support
405,DEDICATION SERVICE OF  BETHELSPRING COVENANT MINISTRIES INT’L.txt,god,life,may,us,today,many,always,christ,start,kingdom
406,A Slave's Appeal - 1860.txt,woman,man,right,may,rights,must,one,laws,would,like
407,"A TRANSCRIPT OF THE SPEECH OF DR. MRS. NGOZI OKONJO-IWEALA, HONOURABLE MINISTER OF FINANCE AND COORDINATING MINISTER OF THE ECONOMY, NIGERIA, AT THE MINISTERIAL PLATFORM HELD AT RADIO HOUSE, ABUJA ON MONDAY, JUNE 11, 2013.txt",minister,want,even,going,ministry,economy,finance,also,people,honourable
408,"A TRANSCRIPT OF THE SPEECH OF DR. NGOZI OKONJO-IWEALA AT THE BUDGET 2014 PRESENTATION HELD AT TRANSCORP HILTON, ABUJA  ON MONDAY, JANUARY 20, 2014.txt",budget,policies,want,thank,honourable,also,government,chair,us,many
409,A Time for Choosing.txt,government,us,dollars,program,would,one,people,man,last,told
410,A Time to Break Silence.txt,must,us,speak,vietnam,nation,world,new,war,america,see
411,"A Time to Rebuild: TEXT OF A SPEECH BY DR ALEX C. OTTI, OFR, ON HIS INAUGURATION AS GOVERNOR OF ABIA STATE May 29, 2023.txt",shall,state,abia,must,also,us,one,government,time,support
412,"A Time to Rebuild: TEXT OF A SPEECH BY DR ALEX C. OTTI, OFR, ON HIS INAUGURATION AS GOVERNOR OF ABIA STATE.txt",shall,state,abia,must,also,us,one,government,time,support
413,"A VALEDICTORY SPEECH BY CHIEF (DR.) J. O. SANUSI, GOVERNOR, CENTRAL BANK OF NIGERIA, AT THE EXTRA-ORDINARY MEETING OF THE BANKERS’ COMMITTEE, MAY 25, 2004..txt",banking,cbn,bank,system,banks,financial,exchange,stability,corporate,development
414,"A VALEDICTORY SPEECH BY CHIEF (DR.) J. O. SANUSI, GOVERNOR, CENTRAL BANK OF NIGERIA.txt",banking,system,cbn,financial,exchange,banks,payments,efficiency,supervisory,bank
415,A Vision for Peace and Progress in Nigeria.txt,must,new,nigeria,peace,nigerian,nigerians,corruption,security,state,economic
416,A Vision for Progress: Inaugural Address to the People of Niger State.txt,niger,work,unity,development,ensure,enhance,every,access,future,healthcare
417,A Vision for a United Nigeria.txt,believe,government,president,pdp,one,us,nigerians,would,must,able
418,"A WELCOME ADDRESS DELIVERED BY HIS EXCELLENCY, MR. AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE AT THE 2018 ANNUAL THANKSGIVING SERVICE HELD ON SUNDAY 7TH JANUARY, 2018 AT THE LAGOS HOUSE, IKEJA..txt",god,new,thanksgiving,year,state,us,continue,always,prayers,lagos
419,A Welcome Address From the Principal.txt,girls,young,federal,one,well,development,college,students,academic,official
420,A Whisper of AIDS.txt,hiv,young,aids,one,children,want,give,believe,nation,good
421,A Whisper of AIDs - Mary Fisher.txt,aids,one,want,good,young,give,hiv,children,courage,believe
422,A Woman's Place in Science - 1935.txt,women,modern,science,scientific,world,new,perhaps,may,industry,accomplishments
423,"A better measure for society"" by Robert F. Kennedy.txt",counts,gross,national,kennedy,speech,product,neither,robert,university,march
424,A circular economy for a healthy people and planet.txt,global,use,per,resource,resources,also,economy,value,reducing,models
425,A global push for healthy land on World Environment Day.txt,land,restoration,world,environment,across,food,biodiversity,restore,per,cent
426,A horrifying scene in India.txt,one,people,gathered,scene,deadly,breaking,crowd,event,local,police
427,A lesson for African entrepreneurs.txt,aliko,like,dangote,african,others,business,success,richest,start,across
428,"A new light to guide action on chemicals, pollution and waste.txt",suggest,work,issue,therefore,unep,establish,foundational,would,membership,plenary
429,"A welcoming speech delivered by the Vice-Chancellor, Professor Temi E. Ologunorisa, Olusegun Agagu University of Science and Technology, Okitipupa, Ondo State, Nigeria, 8th March, 2022 on the commissioning of Principal Officers’ Quarters and other projects. .txt",university,excellency,professor,visitor,research,ondo,distinguished,students,want,thank
430,"A welcoming speech delivered by the Vice-Chancellor, Professor Temi E. Ologunorisa, Olusegun Agagu University of Science and Technology, Okitipupa, Ondo State, Nigeria, 8th March, 2022 on the commissioning of Principal Officers’ Quarters and other projects.txt",university,excellency,professor,visitor,research,ondo,distinguished,students,want,thank
431,"ABIODUN’S SPEECH AT SECOND TERM INAUGURATION on 29th OF MAY, 2023.txt",state,ogun,four,development,people,health,god,serve,care,good
432,"ABUBAKAR TAFAWA BALEWA, “FIRST SPEECH AS PRIME MINISTER” (1957) .txt",nigeria,us,must,political,work,country,first,among,future,everyone
433,"ACCEPTANCE SPEECH BY MR. BAYO WILLIAMS OLUGBEMI, FCIB 21ST PRESIDENT AND CHAIRMAN OF COUNCIL THE CHARTERED INSTITUTE OF BANKERS OF NIGERIA (CIBN).txt",institute,banking,great,thank,past,council,economic,late,olugbemi,leaders
434,"ACCEPTANCE SPEECH BY THE GOVERNOR-ELECT OF OSUN, GBOYEGA OYETOLA, AFTER BEING DECLARED WINNER OF THE GOVERNORSHIP ELECTION HELD ON SEPTEMBER 22, 2018.txt",osun,thank,election,people,victory,campaign,political,national,apc,like
435,"ACCEPTANCE SPEECH DELIVERED BY H.E. DISTINGUISHED SENATOR (CHIEF) GODSWILL OBOT AKPABIO, CON, ON HIS ELECTION AS THE PRESIDENT OF THE SENATE OF THE FEDERAL REPUBLIC OF NIGERIA, THIS 13TH DAY OF JUNE, 2023..txt",federal,republic,senate,president,distinguished,thank,national,leadership,shall,senator
436,ACCEPTANCE-SPEECH-childrens-peace-literature-award.txt,peace,books,literature,arnie,avery,know,like,school,conflict,children
437,"ADDRESS AT THE 21ST CONVOCATION (SPECIAL), AT THE HAGUE, HOLLAND.txt",university,nigeria,oil,per,would,country,life,shell,major,port
438,"ADDRESS AT THE 24TH CONVOCATION LECTURE, UNIVERSITY OF PORT HARCOURT – FULFILLING THE MANDATE Convocation Series October 21, 2014.txt",university,state,science,technology,students,rivers,institution,number,rsust,academic
439,"ADDRESS BY CHIEF (DR.) J. O. SANUSI (CON), GOVERNOR, CENTRAL BANK OF NIGERIA ON THE OCCASION OF FIRST STAKEHOLDERS’ ANNUAL DINNER OF THE ASSOCIATION OF CORPORATE AFFAIRS MANAGERS OF BANKS (ACAMB) Chief (Dr.) J. O. Sanusi (CON) Governor, Central Bank of Nigeria March 13, 2003.txt",banking,financial,corporate,good,banks,bank,governance,institutions,regulatory,would
440,"ADDRESS BY CHIEF (DR.) J. O. SANUSI, (CON) GOVERNOR, CENTRAL BANK OF NIGERIA ON THE OCCASION OF THE 9TH MEETING OF THE COMMITTEE OF GOVERNORS OF THE WEST AFRICAN MONETARY ZONE (WAMZ), ABUJA, NIGERIA 27TH AUGUST, 2003.txt",committee,monetary,meeting,governors,central,bank,wamz,fellow,convergence,wish
441,"ADDRESS BY HIS EXCELLENCY MR. AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE AT THE COMMISSIONING OF LAGOS-OGUN STATE BOUNDARY NETWORK OF 21 ROADS (LOCATION 1- NEW AYETORO BRIDGE) IN ALIMOSHO LOCAL GOVERNMENT ON MONDAY,2ND APRIL, 2018.txt",government,state,project,people,around,time,network,ikola,communities,ogun
442,"ADDRESS BY HIS EXCELLENCY MR. AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE AT THE COMMISSIONING OF LAGOS-OGUN STATE BOUNDARY NETWORK OF 21 ROADS (LOCATION 3- NEW IKOLA BRIDGE ""OLD ODO OBASANJO BRIDGE"" IN ALIMOSHO LOCAL GOVERNMENT ON MONDAY,2ND APRIL,2018..txt",state,road,construction,government,vision,provide,connectivity,ogun,within,local
443,"ADDRESS BY HIS EXCELLENCY MR. AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE AT THE COMMISSIONING OF LAGOS-OGUN STATE BOUNDARY NETWORK OF 21 ROADS (LOCATION 3- NEW IKOLA BRIDGE (OLD ODO OBASANJO BRIDGE) IN ALIMOSHO LOCAL GOVERNMENT ON MONDAY,2ND APRIL,2018.txt",state,road,construction,government,roads,vision,provide,connectivity,ogun,within
444,"ADDRESS BY HIS EXCELLENCY MR. AKINWUNMI AMBODE, GOVERNOR OF LAGOS STATE AT THE COMMISSIONING OF LAGOS-OGUN STATE BOUNDARY NETWORK OF 21 ROADS 2ND APRIL, 2018.txt",state,government,project,people,lagos,around,time,network,ikola,communities
445,"ADDRESS BY HIS EXCELLENCY MUHAMMADU BUHARI, PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA ON THE OCCASION OF THE OFFICIAL COMMISSIONING OF THE KASHIMBILLA MULTIPURPOSE DAM, 40MW HYDROPOWER STATION AND ASSOCIATED 132KV SWITCHYARD, TRANSMISSION LINE AND DISTRIBUTION SUBSTATIONS (PHASE I) AT THE KASHIMBILA DAM SITE IN TARABA STATE THURSDAY, 18TH MAY, 2023.txt",kashimbila,hydropower,line,multipurpose,dam,water,project,also,supply,commend
446,"ADDRESS BY HIS EXCELLENCY MUHAMMADU BUHARI, PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA, AT THE OPENING CEREMONY OF THE INTRA-AFRICAN TRADE FAIR 2021 AT DURBAN SOUTH AFRICA ON MONDAY 15TH NOVEMBER, 2021.txt",trade,african,must,nigeria,africa,government,also,business,jobs,full
447,"ADDRESS BY HIS EXCELLENCY PRESIDENT OLUSEGUN OBASANJO ON THE OCCASION OF THE INAUGURAL MEETING OF COUNCIL OF STATE ON TUESDAY, 29th JUNE, 1999 AT THE PRESIDENTIAL VILLA, ABUJA.txt",ofthe,public,government,us,want,national,also,state,security,country
448,"ADDRESS BY HIS EXCELLENCY, MR. AKINWUNMI AMBODE, AT THE LAGOS BOAT REGATTA FESTIVAL ON APRIL 1, 2018.txt",boat,water,waterways,lagos,parade,gives,great,pleasure,join,edition
449,"ADDRESS BY HIS EXCELLENCY, MR. AKINWUNMI AMBODE, GOVERNOR OF lagos STATE AT THE COMMUNITY DAY CELEBRATION HELD ON DECEMBER 7TH, 2017 AT THE ADEYEMI BERO AUDITORIUM, THE SECRETARIAT, IKEJA.txt",community,year,come,values,development,administration,government,vision,work,lagos
450,"ADDRESS BY HIS EXCELLENCY, MUHAMMADU BUHARI PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA, AT THE FOURTH NATIONAL SUMMIT ON DIMINISHING CORRUPTION IN THE PUBLIC SECTOR HELD AT THE STATE HOUSE, ABUJA 4 TH OCTOBER, 2022.txt",education,government,corruption,federal,educational,summit,sector,also,institutions,public
451,"ADDRESS BY HIS EXCELLENCY, MUHAMMADU BUHARI, PRESIDENT AND COMMANDER IN CHIEF OF THE ARMED FORCES OF THE FEDERAL REPUBLIC OF NIGERIA DELIVERED BY HIS EXCELLENCY, PROF. YEMI OSINBAJO, SAN, GCON, VICE PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA ON THE OCCASION OF THE 1ST 2023 AWARD OF NIGERIAN CITIZENSHIP BY REGISTRATION AND NATURALIZATION TO 385 FOREIGN NATIONALS HELD IN ABUJA ON THE 27TH MAY, 2023..txt",nigerian,people,indeed,family,nigeria,history,social,us,lives,always
452,"ADDRESS BY HIS EXCELLENCY, MUHAMMADU BUHARI, PRESIDENT AND COMMANDER IN CHIEF OF THE ARMED FORCES OF THE FEDERAL REPUBLIC OF NIGERIA DELIVERED BY HIS EXCELLENCY, PROF. YEMI OSINBAJO, SAN, GCON, VICE PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA ON THE OCCASION OF THE 1ST 2023 AWARD OF NIGERIAN CITIZENSHIP BY REGISTRATION AND NATURALIZATION.txt",nigerian,people,indeed,family,nigeria,history,social,us,lives,always
453,"ADDRESS BY HIS EXCELLENCY, MUHAMMADU BUHARI, PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA AT THE 3RD NATIONAL SUMMIT ON DIMINISHING CORRUPTION IN THE PUBLIC SECTOR STATE HOUSE CONFERENCE CENTRE, STATE HOUSE, ABUJA 30TH NOVEMBER, 2021.txt",government,cost,governance,public,plan,national,also,icpc,development,integrity
454,"ADDRESS BY HIS EXCELLENCY, MUHAMMADU BUHARI, PRESIDENT OF THE FEDERAL REPUBLIC OF NIGERIA, AT THE 3RD YEAR MINISTERIAL PERFORMANCE REVIEW RETREAT HELD AT THE STATE HOUSE CONFERENCE CENTRE, ABUJA ON 17TH OCTOBER, 2022.txt",government,national,health,implementation,projects,administration,nigeria,nigerian,delivery,petroleum
455,"ADDRESS BY HIS EXCELLENCY, PRESIDENT BOLA AHMED TINUBU, GCFR, PRESIDENT AND COMMANDER-IN-CHIEF, FEDERAL REPUBLIC OF NIGERIA IN COMMEMORATION OF THE 63RD INDEPENDENCE ANNIVERSARY OF NIGERIA ON SUNDAY, 1ST OCTOBER, 2023.txt",shall,nation,nigeria,also,us,would,better,must,may,new
456,"ADDRESS BY HIS EXCELLENCY, PRESIDENT BOLA AHMED TINUBU, GCFR, PRESIDENT AND COMMANDER-IN-CHIEF, FEDERAL REPUBLIC OF NIGERIA IN COMMEMORATION OF THE 63RD INDEPENDENCE ANNIVERSARY OF NIGERIA.txt",shall,nation,nigeria,also,us,would,better,must,may,new
457,"ADDRESS BY HIS EXCELLENCY, PRESIDENT MUHAMMADU BUHARI, PRESIDENT FEDERAL REPUBLIC OF NIGERIA AT THE SIGNING OF ELECTORAL BILL 2022 INTO LAW.txt",bill,political,section,electoral,constitutional,serving,office,holders,constitution,national
458,"CONFERENCE, ABUJA, 25TH AUGUST, 2015.txt",nigerians,diaspora,abroad,also,nigeria,government,national,nigerian,development,citizens
459,"ADDRESS BY HIS EXCELLENCY, PROF. YEMI OSINBAJO, SAN, GCON, VICE PRESIDENT, FEDERAL REPUBLIC OF NIGERIA AT THE NIGERIA GUILD OF EDITORS ANNUAL CONFERENCE IN BAYELSA STATE ON THE 27th OF AUGUST, 2015.txt",social,editors,nigerian,media,policy,good,government,committed,change,work
460,"ADDRESS BY HIS EXCELLENCY, THE PRESIDENT COMMANDER-IN-CHIEF OF THE ARMED FORCES CHIEF OLUSEGUN OBASANJO, GCFR AT THE INAUGURATION OF THE HUMAN RIGHTS INVESTIGATION PANEL ON MONDAY, 14th JUNE, 1999 AT THE STATE HOUSE, ABUJA AT 11.00 A.M.txt",ofthe,rights,human,member,investigation,abuses,violations,assassinations,policy,past
